Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,Petrol,10.8,8.2,9.6,29,226,1.0,8.2,2.6000000000000014
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,Petrol,9.1,6.7,8.0,35,187,1.0,6.7,2.3999999999999995
MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,Petrol,8.9,6.7,7.9,36,186,1.0,6.7,2.2
MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Petrol,9.0,6.7,8.0,35,187,1.0,6.7,2.3
MERCEDES-BENZ,AMG C 63,COMPACT,4.0,8,AS7,Petrol,13.4,9.6,11.7,24,273,1.0,9.6,3.8000000000000007
MERCEDES-BENZ,AMG C 63 CABRIOLET,SUBCOMPACT,4.0,8,AS7,Petrol,14.0,10.1,12.2,23,291,1.0,10.1,3.9000000000000004
MERCEDES-BENZ,AMG C 63 COUPE,SUBCOMPACT,4.0,8,AS7,Petrol,13.8,10.1,12.1,23,285,1.0,10.1,3.700000000000001
MERCEDES-BENZ,AMG C 63 S,COMPACT,4.0,8,AS7,Petrol,13.4,9.6,11.7,24,273,1.0,9.6,3.8000000000000007
MERCEDES-BENZ,AMG C 63 S CABRIOLET,SUBCOMPACT,4.0,8,AS7,Petrol,14.0,10.1,12.2,23,291,1.0,10.1,3.9000000000000004
MERCEDES-BENZ,AMG C 63 S COUPE,SUBCOMPACT,4.0,8,AS7,Petrol,13.8,10.1,12.1,23,285,1.0,10.1,3.700000000000001
MERCEDES-BENZ,AMG CLA 45,COMPACT,2.0,4,AS7,Petrol,10.7,7.6,9.3,30,221,1.0,7.6,3.0999999999999996
MERCEDES-BENZ,AMG CLS 63 S 4MATIC,COMPACT,5.5,8,AS7,Petrol,15.1,10.8,13.1,22,308,1.0,10.8,4.299999999999999
MERCEDES-BENZ,AMG GLA 45 4MATIC,SUV - SMALL,2.0,4,AS7,Petrol,11.3,8.5,10.0,28,233,1.0,8.5,2.8000000000000007
MERCEDES-BENZ,AMG GLC 43 4MATIC COUPE,SUV - SMALL,3.0,6,A9,Petrol,17.4,11.1,14.6,19,353,1.0,11.1,6.299999999999999
MERCEDES-BENZ,AMG GLE 43 4MATIC,SUV - STANDARD,3.0,6,A9,Petrol,13.6,10.1,12.0,24,281,1.0,10.1,3.5
MERCEDES-BENZ,AMG GLE 43 4MATIC COUPE,SUV - STANDARD,3.0,6,A9,Petrol,13.6,10.2,12.0,24,281,1.0,10.2,3.4000000000000004
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,5.5,8,AS7,Petrol,17.3,13.5,15.6,18,363,1.0,13.5,3.8000000000000007
MERCEDES-BENZ,AMG GLE 63 S 4MATIC COUPE,SUV - STANDARD,5.5,8,AS7,Petrol,17.2,12.8,15.2,19,363,1.0,12.8,4.399999999999999
MERCEDES-BENZ,AMG GLS 63,SUV - STANDARD,5.5,8,AS7,Petrol,18.2,14.0,16.3,17,369,1.0,14.0,4.199999999999999
MERCEDES-BENZ,AMG GT COUPE,TWO-SEATER,4.0,8,AS7,Petrol,14.5,10.8,12.8,22,303,1.0,10.8,3.6999999999999993
MERCEDES-BENZ,AMG GT S COUPE,TWO-SEATER,4.0,8,AS7,Petrol,14.5,10.8,12.8,22,303,1.0,10.8,3.6999999999999993
MERCEDES-BENZ,AMG S 63 4MATIC,FULL-SIZE,5.5,8,AS7,Petrol,15.7,10.1,13.2,21,313,1.0,10.1,5.6
MERCEDES-BENZ,AMG S 63 CABRIOLET,COMPACT,5.5,8,AS7,Petrol,16.4,10.6,13.8,20,322,1.0,10.6,5.799999999999999
MERCEDES-BENZ,AMG S 63 COUPE,COMPACT,5.5,8,AS7,Petrol,15.3,10.2,13.0,22,305,1.0,10.2,5.100000000000001
MERCEDES-BENZ,AMG S 65,FULL-SIZE,6.0,12,AS7,Petrol,17.6,10.9,14.6,19,349,1.0,10.9,6.700000000000001
MERCEDES-BENZ,AMG S 65 CABRIOLET,COMPACT,6.0,12,AS7,Petrol,17.1,11.0,14.3,20,348,1.0,11.0,6.100000000000001
MERCEDES-BENZ,AMG S 65 COUPE,COMPACT,6.0,12,AS7,Petrol,18.7,11.6,15.5,18,365,1.0,11.6,7.1
MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8,AS7,Petrol,14.7,9.5,12.4,23,298,1.0,9.5,5.199999999999999
MERCEDES-BENZ,AMG SL 65,TWO-SEATER,6.0,12,AS7,Petrol,17.6,10.8,14.5,19,340,1.0,10.8,6.800000000000001
MERCEDES-BENZ,AMG SLC 43,TWO-SEATER,3.0,6,A9,Petrol,11.6,8.2,10.1,28,234,1.0,8.2,3.4000000000000004
MERCEDES-BENZ,B 250,MID-SIZE,2.0,4,AS7,Petrol,9.7,6.6,8.3,34,179,1.0,6.6,3.0999999999999996
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2.0,4,AS7,Petrol,10.1,7.8,9.0,31,212,1.0,7.8,2.3
MERCEDES-BENZ,C 300 4MATIC CABRIOLET,SUBCOMPACT,2.0,4,A9,Petrol,10.8,8.0,9.5,30,222,1.0,8.0,2.8000000000000007
MERCEDES-BENZ,C 300 4MATIC COUPE,SUBCOMPACT,2.0,4,AS7,Petrol,10.4,8.0,9.3,30,218,1.0,8.0,2.4000000000000004
MERCEDES-BENZ,CLA 250,COMPACT,2.0,4,AS7,Petrol,9.6,6.4,8.1,35,190,1.0,6.4,3.1999999999999993
MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,A9,Petrol,13.6,9.4,11.7,24,275,1.0,9.4,4.199999999999999
MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,2.0,4,A9,Petrol,10.8,8.1,9.5,30,246,1.0,8.1,2.700000000000001
MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3.0,6,A9,Petrol,11.8,8.6,10.4,27,245,1.0,8.6,3.200000000000001
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3.0,6,A9,Petrol,12.4,9.3,11.0,26,259,1.0,9.3,3.0999999999999996
MERCEDES-BENZ,E 400 CABRIOLET,SUBCOMPACT,3.0,6,AS7,Petrol,11.5,8.1,10.0,28,233,1.0,8.1,3.4000000000000004
MERCEDES-BENZ,E 400 COUPE,SUBCOMPACT,3.0,6,AS7,Petrol,11.8,8.4,10.2,28,239,1.0,8.4,3.4000000000000004
MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8,AS7,Petrol,13.7,9.2,11.7,24,275,1.0,9.2,4.5
MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,8,AS7,Petrol,13.4,8.9,11.4,25,268,1.0,8.9,4.5
MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,AS7,Petrol,19.0,16.6,17.9,16,401,1.0,16.6,2.3999999999999986
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,Petrol,10.3,7.6,9.1,31,212,1.0,7.6,2.700000000000001
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4,AS7,Electric,13.6,10.0,12.0,24,128,0.8,10.0,3.5999999999999996
MERCEDES-BENZ,GLC 300 4MATIC,SUV - SMALL,2.0,4,A9,Petrol,11.1,8.5,10.0,28,233,1.0,8.5,2.5999999999999996
MERCEDES-BENZ,GLE 400 4MATIC,SUV - STANDARD,3.0,6,A9,Petrol,13.1,10.1,11.7,24,276,1.0,10.1,3.0
MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8,A9,Petrol,15.3,11.3,13.5,21,318,1.0,11.3,4.0
MERCEDES-BENZ,GLS 450 4MATIC,SUV - STANDARD,3.0,6,A9,Petrol,14.4,11.4,13.0,22,306,1.0,11.4,3.0
MERCEDES-BENZ,GLS 550 4MATIC,SUV - STANDARD,4.7,8,A9,Petrol,16.7,12.9,15.0,19,347,1.0,12.9,3.799999999999999
MERCEDES-BENZ,MAYBACH S 600,FULL-SIZE,6.0,12,AS7,Petrol,18.2,11.0,15.0,19,359,1.0,11.0,7.199999999999999
MERCEDES-BENZ,METRIS CARGO,SPECIAL PURPOSE VEHICLE,2.0,4,AS7,Petrol,11.1,9.1,10.2,28,240,1.0,9.1,2.0
MERCEDES-BENZ,METRIS PASSENGER,SPECIAL PURPOSE VEHICLE,2.0,4,AS7,Petrol,11.5,9.3,10.5,27,248,1.0,9.3,2.1999999999999993
MERCEDES-BENZ,S 400 4MATIC SWB,MID-SIZE,3.0,6,AS7,Petrol,12.6,8.6,10.8,26,253,1.0,8.6,4.0
MERCEDES-BENZ,S 550 4MATIC SWB,MID-SIZE,4.7,8,A9,Petrol,14.3,9.2,12.0,24,280,1.0,9.2,5.100000000000001
MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8,A9,Petrol,14.3,9.2,12.0,24,280,1.0,9.2,5.100000000000001
MERCEDES-BENZ,S 550 4MATIC CABRIOLET,COMPACT,4.7,8,A9,Petrol,13.9,9.3,11.8,24,276,1.0,9.3,4.6
MERCEDES-BENZ,S 550 4MATIC COUPE,COMPACT,4.7,8,A9,Petrol,14.1,9.3,11.9,24,278,1.0,9.3,4.799999999999999
MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12,AS7,Petrol,17.5,10.8,14.5,19,350,1.0,10.8,6.699999999999999
MERCEDES-BENZ,SL 450,TWO-SEATER,3.0,6,A9,Petrol,11.5,8.4,10.1,28,237,1.0,8.4,3.0999999999999996
MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,A9,Petrol,13.6,9.5,11.7,24,275,1.0,9.5,4.1
MERCEDES-BENZ,SLC 300,TWO-SEATER,2.0,4,A9,Petrol,9.5,7.2,8.5,33,200,1.0,7.2,2.3
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3,AS6,Petrol,8.8,6.8,7.9,36,184,1.0,6.8,2.000000000000001
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3,AS6,Petrol,8.8,6.8,7.9,36,184,1.0,6.8,2.000000000000001
MINI,COOPER CLUBMAN,MID-SIZE,1.5,3,AS6,Petrol,9.5,7.2,8.4,34,197,1.0,7.2,2.3
MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3,AS8,Petrol,10.2,7.8,9.1,31,213,1.0,7.8,2.3999999999999995
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.5,3,AS6,Petrol,8.8,6.8,7.9,36,184,1.0,6.8,2.000000000000001
MINI,COOPER COUNTRYMAN,MID-SIZE,1.5,3,AS6,Petrol,9.5,7.2,8.4,34,197,1.0,7.2,2.3
MINI,COOPER COUNTRYMAN ALL4,MID-SIZE,1.5,3,AS8,Petrol,10.3,7.9,9.2,31,215,1.0,7.9,2.4000000000000004
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4,AS6,Petrol,9.3,7.2,8.3,34,196,1.0,7.2,2.1000000000000005
MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4,AS6,Petrol,9.3,7.2,8.3,34,196,1.0,7.2,2.1000000000000005
MINI,COOPER S CLUBMAN,MID-SIZE,2.0,4,AS8,Petrol,10.0,7.2,8.7,32,205,1.0,7.2,2.8
MINI,COOPER S CLUBMAN ALL4,MID-SIZE,2.0,4,AS8,Petrol,10.2,7.4,9.0,31,210,1.0,7.4,2.799999999999999
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4,AS6,Petrol,9.4,7.2,8.4,34,196,1.0,7.2,2.2
MINI,COOPER S COUNTRYMAN  ALL4,MID-SIZE,2.0,4,AS8,Petrol,10.5,7.4,9.1,31,213,1.0,7.4,3.0999999999999996
MINI,JOHN COOPER WORKS 3 DOOR,SUBCOMPACT,2.0,4,AS6,Petrol,9.3,7.2,8.3,34,196,1.0,7.2,2.1000000000000005
MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2.0,4,AS8,Petrol,10.2,7.4,9.0,31,210,1.0,7.4,2.799999999999999
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2.0,4,AS6,Petrol,9.4,7.2,8.4,34,196,1.0,7.2,2.2
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,Petrol,6.4,5.5,6.0,47,141,1.0,5.5,0.9000000000000004
MITSUBISHI,MIRAGE G4,COMPACT,1.2,3,AV,Petrol,6.9,5.7,6.4,44,149,1.0,5.7,1.2000000000000002
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3.0,6,AS6,Petrol,11.9,8.5,10.4,27,242,1.0,8.5,3.4000000000000004
NISSAN,370Z,TWO-SEATER,3.7,6,AS7,Petrol,12.6,9.3,11.1,25,261,1.0,9.3,3.299999999999999
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,AS7,Petrol,13.0,9.7,11.5,25,270,1.0,9.7,3.3000000000000007
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,Petrol,8.8,6.0,7.5,38,176,1.0,6.0,2.8000000000000007
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,AS7,Petrol,17.5,12.9,15.4,18,362,1.0,12.9,4.6
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A5,Petrol,13.5,10.5,12.2,23,286,1.0,10.5,3.0
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4.0,6,A5,Petrol,14.8,10.6,12.9,22,304,1.0,10.6,4.200000000000001
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,Petrol,15.8,11.5,13.8,20,326,1.0,11.5,4.300000000000001
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Petrol,14.5,10.7,12.8,22,300,1.0,10.7,3.8000000000000007
NISSAN,MICRA,COMPACT,1.6,4,A4,Petrol,8.9,6.8,7.9,36,186,1.0,6.8,2.1000000000000005
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2.0,4,AV,Petrol,9.8,9.0,9.4,30,220,1.0,9.0,0.8000000000000007
NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,Petrol,11.6,8.5,10.2,28,240,1.0,8.5,3.0999999999999996
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,Petrol,12.1,8.9,10.7,26,250,1.0,8.9,3.1999999999999993
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,AV,Petrol,12.4,9.2,11.0,26,258,1.0,9.2,3.200000000000001
NISSAN,QASHQAI,STATION WAGON - SMALL,2.0,4,AV,Petrol,8.8,7.3,8.1,35,191,1.0,7.3,1.5000000000000009
NISSAN,QASHQAI AWD,STATION WAGON - SMALL,2.0,4,AV,Petrol,9.1,7.5,8.4,34,197,1.0,7.5,1.5999999999999996
NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,Petrol,9.2,7.0,8.2,34,192,1.0,7.0,2.1999999999999993
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,Petrol,9.6,7.4,8.6,33,203,1.0,7.4,2.1999999999999993
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,Petrol,8.1,6.3,7.3,39,171,1.0,6.3,1.7999999999999998
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,AS7,Petrol,15.0,11.2,13.3,21,312,1.0,11.2,3.8000000000000007
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,Petrol,15.2,11.1,13.4,21,315,1.0,11.1,4.1
NISSAN,TITAN 4WD PRO-4X,PICKUP TRUCK - STANDARD,5.6,8,AS7,Petrol,16.0,12.0,14.2,20,333,1.0,12.0,4.0
NISSAN,VERSA,MID-SIZE,1.6,4,AV,Petrol,7.6,6.2,7.0,40,164,1.0,6.2,1.3999999999999995
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6,A8,Petrol,12.9,9.7,11.5,25,268,1.0,9.7,3.200000000000001
PORSCHE,CAYENNE PLATINUM,SUV - STANDARD,3.6,6,A8,Petrol,13.6,10.2,12.1,23,281,1.0,10.2,3.4000000000000004
PORSCHE,CAYENNE S,SUV - STANDARD,3.6,6,A8,Petrol,13.9,9.6,12.0,24,281,1.0,9.6,4.300000000000001
PORSCHE,CAYENNE GTS,SUV - STANDARD,3.6,6,A8,Petrol,14.5,10.4,12.6,22,296,1.0,10.4,4.1
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A8,Petrol,16.7,11.2,14.2,20,334,1.0,11.2,5.5
PORSCHE,CAYENNE TURBO S,SUV - STANDARD,4.8,8,A8,Petrol,16.7,11.2,14.2,20,334,1.0,11.2,5.5
PORSCHE,MACAN,SUV - SMALL,2.0,4,A7,Petrol,11.6,9.3,10.6,27,248,1.0,9.3,2.299999999999999
PORSCHE,MACAN S,SUV - SMALL,3.0,6,A7,Petrol,13.7,10.3,12.2,23,285,1.0,10.3,3.3999999999999986
PORSCHE,MACAN GTS,SUV - SMALL,3.0,6,A7,Petrol,13.8,10.3,12.3,23,287,1.0,10.3,3.5
PORSCHE,MACAN TURBO,SUV - SMALL,3.6,6,A7,Petrol,14.2,10.1,12.3,23,287,1.0,10.1,4.1
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Petrol,13.9,9.6,11.9,24,280,1.0,9.6,4.300000000000001
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Electric,19.7,13.8,17.0,17,283,0.8,13.8,5.899999999999999
RAM,1500,PICKUP TRUCK - STANDARD,5.7,8,A6,Petrol,17.0,12.0,14.8,19,346,1.0,12.0,5.0
RAM,1500,PICKUP TRUCK - STANDARD,5.7,8,A8,Petrol,15.7,11.0,13.6,21,319,1.0,11.0,4.699999999999999
RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,Diesel,11.8,8.6,10.4,27,278,0.9,8.6,3.200000000000001
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Petrol,14.5,10.2,12.6,22,294,1.0,10.2,4.300000000000001
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Electric,20.7,14.7,18.0,16,300,0.8,14.7,6.0
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8,A6,Petrol,17.5,12.7,15.4,18,361,1.0,12.7,4.800000000000001
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8,A8,Petrol,16.1,11.5,14.0,20,328,1.0,11.5,4.600000000000001
RAM,1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,Diesel,12.3,8.8,10.8,26,289,0.9,8.8,3.5
RAM,PROMASTER CITY,SPECIAL PURPOSE VEHICLE,2.4,4,A9,Petrol,11.2,8.3,9.9,29,232,1.0,8.3,2.8999999999999986
ROLLS-ROYCE,DAWN,COMPACT,6.6,12,AS8,Petrol,20.0,12.6,16.7,17,390,1.0,12.6,7.4
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Petrol,20.0,12.6,16.7,17,390,1.0,12.6,7.4
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,AS8,Petrol,20.0,12.6,16.7,17,390,1.0,12.6,7.4
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Petrol,20.7,12.7,17.1,17,400,1.0,12.7,8.0
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,AS8,Petrol,20.7,12.7,17.1,17,400,1.0,12.7,8.0
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,AS8,Petrol,20.7,12.7,17.1,17,400,1.0,12.7,8.0
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,AS8,Petrol,20.6,12.8,17.1,17,401,1.0,12.8,7.800000000000001
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,AS8,Petrol,19.0,12.5,16.1,18,375,1.0,12.5,6.5
SMART,FORTWO CABRIOLET,TWO-SEATER,0.9,3,AM6,Petrol,7.0,6.3,6.7,42,152,1.0,6.3,0.7000000000000002
SUBARU,BRZ,MINICOMPACT,2.0,4,AS6,Petrol,9.7,7.2,8.6,33,200,1.0,7.2,2.499999999999999
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6,AS5,Petrol,14.3,12.0,13.3,21,310,1.0,12.0,2.3000000000000007
TOYOTA,4RUNNER 4WD (Part-Time 4WD),SUV - STANDARD,4.0,6,AS5,Petrol,14.3,12.0,13.3,21,310,1.0,12.0,2.3000000000000007
TOYOTA,86,MINICOMPACT,2.0,4,AS6,Petrol,9.9,7.3,8.7,32,204,1.0,7.3,2.6000000000000005
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,Petrol,11.4,7.7,9.7,29,226,1.0,7.7,3.7
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS6,Petrol,9.8,7.1,8.6,33,199,1.0,7.1,2.700000000000001
TOYOTA,CAMRY,MID-SIZE,3.5,6,AS6,Petrol,11.0,7.8,9.6,29,224,1.0,7.8,3.2
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4,AV,Petrol,5.6,6.2,5.9,48,137,1.0,6.2,-0.6000000000000005
TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,AV,Petrol,5.8,6.3,6.0,47,141,1.0,6.3,-0.5
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,Petrol,8.3,6.5,7.5,38,174,1.0,6.5,1.8000000000000007
TOYOTA,COROLLA LE ECO (1-mode),MID-SIZE,1.8,4,AV,Petrol,7.8,5.9,6.9,41,163,1.0,5.9,1.8999999999999995
TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,Petrol,8.0,6.3,7.2,39,168,1.0,6.3,1.7000000000000002
TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,AS8,Petrol,11.8,8.7,10.3,27,243,1.0,8.7,3.1000000000000014
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6,AS8,Petrol,12.1,9.0,10.6,27,251,1.0,9.0,3.0999999999999996
TOYOTA,HIGHLANDER AWD (Start/Stop System),SUV - STANDARD,3.5,6,AS8,Petrol,12.0,8.9,10.6,27,247,1.0,8.9,3.0999999999999996
TOYOTA,HIGHLANDER AWD LE,SUV - STANDARD,3.5,6,AS8,Petrol,11.7,8.8,10.4,27,242,1.0,8.8,2.8999999999999986
TOYOTA,PRIUS,MID-SIZE,1.8,4,AV,Petrol,4.4,4.6,4.5,63,105,1.0,4.6,-0.1999999999999993
TOYOTA,PRIUS c,COMPACT,1.5,4,AV,Petrol,4.9,5.5,5.1,55,120,1.0,5.5,-0.5999999999999996
TOYOTA,PRIUS v,STATION WAGON - MID-SIZE,1.8,4,AV,Petrol,5.5,6.0,5.8,49,135,1.0,6.0,-0.5
TOYOTA,RAV4,SUV - SMALL,2.5,4,AS6,Petrol,10.3,8.0,9.2,31,217,1.0,8.0,2.3000000000000007
TOYOTA,RAV4 LE/XLE,SUV - SMALL,2.5,4,AS6,Petrol,10.0,7.8,9.0,31,210,1.0,7.8,2.2
TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4,AS6,Petrol,10.5,8.3,9.5,30,222,1.0,8.3,2.1999999999999993
TOYOTA,RAV4 LIMITED/SE AWD,SUV - SMALL,2.5,4,AS6,Petrol,10.7,8.4,9.7,29,226,1.0,8.4,2.299999999999999
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,Petrol,18.7,13.8,16.5,17,380,1.0,13.8,4.899999999999999
TOYOTA,SIENNA,MINIVAN,3.5,6,AS8,Petrol,12.5,8.9,10.9,26,255,1.0,8.9,3.5999999999999996
TOYOTA,SIENNA AWD,MINIVAN,3.5,6,AS8,Petrol,13.4,9.6,11.7,24,274,1.0,9.6,3.8000000000000007
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,AS6,Petrol,12.1,10.1,11.2,25,263,1.0,10.1,2.0
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,3.5,6,AS6,Petrol,12.6,10.0,11.4,25,268,1.0,10.0,2.5999999999999996
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,AS6,Petrol,12.7,10.6,11.7,24,274,1.0,10.6,2.0999999999999996
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6,AS6,Petrol,13.2,10.7,12.0,24,283,1.0,10.7,2.5
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,Petrol,15.8,12.3,14.2,20,334,1.0,12.3,3.5
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,AS6,Petrol,17.2,12.9,15.3,18,358,1.0,12.9,4.299999999999999
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,AS6,Petrol,16.8,12.6,14.9,19,349,1.0,12.6,4.200000000000001
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,Petrol,18.1,13.9,16.2,17,378,1.0,13.9,4.200000000000001
TOYOTA,YARIS,COMPACT,1.5,4,AS6,Petrol,7.3,5.8,6.6,43,155,1.0,5.8,1.5
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,A4,Petrol,7.9,6.8,7.4,38,173,1.0,6.8,1.1000000000000005
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,AS6,Petrol,9.7,7.2,8.5,33,199,1.0,7.2,2.499999999999999
VOLKSWAGEN,BEETLE DUNE,COMPACT,1.8,4,AS6,Petrol,9.6,7.5,8.6,33,201,1.0,7.5,2.0999999999999996
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,AS6,Petrol,9.7,7.2,8.5,33,199,1.0,7.2,2.499999999999999
VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,AS6,Petrol,13.9,9.3,11.8,24,277,1.0,9.3,4.6
VOLKSWAGEN,GOLF,COMPACT,1.8,4,AS6,Petrol,9.4,6.7,8.2,34,192,1.0,6.7,2.7
VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4,AM6,Petrol,9.6,7.2,8.5,33,199,1.0,7.2,2.3999999999999995
VOLKSWAGEN,GOLF R,COMPACT,2.0,4,AM6,Petrol,10.4,7.9,9.3,30,216,1.0,7.9,2.5
VOLKSWAGEN,GOLF ALLTRACK,STATION WAGON - SMALL,1.8,4,AM6,Petrol,10.6,8.0,9.4,30,220,1.0,8.0,2.5999999999999996
VOLKSWAGEN,GOLF SPORTWAGEN,STATION WAGON - SMALL,1.8,4,AS6,Petrol,9.3,6.9,8.2,34,192,1.0,6.9,2.4000000000000004
VOLKSWAGEN,GOLF SPORTWAGEN 4MOTION,STATION WAGON - SMALL,1.8,4,AM6,Petrol,10.6,8.0,9.4,30,220,1.0,8.0,2.5999999999999996
VOLKSWAGEN,JETTA,COMPACT,1.4,4,AS6,Petrol,8.5,6.2,7.4,38,175,1.0,6.2,2.3
VOLKSWAGEN,JETTA,COMPACT,1.8,4,AM6,Petrol,9.4,6.8,8.2,34,193,1.0,6.8,2.6000000000000005
VOLKSWAGEN,JETTA,COMPACT,2.0,4,AS6,Petrol,9.8,7.4,8.7,32,205,1.0,7.4,2.4000000000000004
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,AS6,Petrol,10.1,7.0,8.7,32,204,1.0,7.0,3.0999999999999996
