Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff,VEEI
BMW,328i,COMPACT,2.0,4,A8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5,98.87303653997715
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995,98.60696496475327
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995,98.60696496475327
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995,98.60696496475327
BMW,335i,COMPACT,3.0,6,A8,Petrol,11.4,7.3,9.6,29,221,1.0,7.3,4.1000000000000005,96.02417953595452
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Petrol,11.7,7.8,9.9,29,228,1.0,7.8,3.9,95.89096586797913
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Petrol,11.9,8.0,10.1,28,232,1.0,8.0,3.9,95.64198317902513
BMW,428i COUPE,COMPACT,2.0,4,A8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5,98.87303653997715
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995,98.60696496475327
BMW,435i COUPE,COMPACT,3.0,6,A8,Petrol,11.4,7.3,9.6,29,221,1.0,7.3,4.1000000000000005,96.02417953595452
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Petrol,11.7,7.8,9.9,29,228,1.0,7.8,3.9,95.89096586797913
BMW,528i,MID-SIZE,2.0,4,A8,Petrol,10.2,7.0,8.8,32,202,1.0,7.0,3.1999999999999997,98.71312209323546
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995,98.60696496475327
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,Diesel,9.2,6.4,7.9,36,213,0.9,6.4,2.799999999999999,97.14717623903097
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Petrol,11.9,8.0,10.1,28,232,1.0,8.0,3.9,95.64198317902513
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Petrol,12.5,8.6,10.7,26,246,1.0,8.6,3.9,94.98750394029992
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Petrol,14.4,9.6,12.2,23,281,1.0,9.6,4.800000000000001,86.92944002159244
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999,85.749952047364
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Petrol,11.9,8.0,10.1,28,232,1.0,8.0,3.9,95.64198317902513
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999,85.749952047364
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Petrol,14.4,9.6,12.2,23,281,1.0,9.6,4.800000000000001,86.92944002159244
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999,85.749952047364
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Petrol,12.5,8.6,10.7,26,246,1.0,8.6,3.9,94.98750394029992
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999,85.749952047364
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999,85.749952047364
BMW,760Li,FULL-SIZE,6.0,12,A8,Petrol,18.7,11.5,15.5,18,356,1.0,11.5,7.199999999999999,55.93179931491796
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Petrol,9.2,7.1,8.3,34,191,1.0,7.1,2.1,97.1434355502183
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Petrol,10.5,7.9,9.3,30,214,1.0,7.9,2.6,96.29504732750446
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Petrol,10.5,7.6,9.2,31,212,1.0,7.6,2.9000000000000004,96.46536028580849
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999,85.749952047364
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Petrol,15.0,9.8,12.7,22,292,1.0,9.8,5.199999999999999,85.749952047364
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995,98.60696496475327
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Petrol,13.2,8.9,11.3,25,260,1.0,8.9,4.299999999999999,94.46646771176233
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Petrol,11.2,8.5,10.0,28,230,1.0,8.5,2.6999999999999997,98.2429976671001
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Petrol,12.6,9.1,11.0,26,253,1.0,9.1,3.5,94.83891946448121
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Petrol,12.9,8.8,11.1,25,255,1.0,8.8,4.1,94.5694862816633
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Petrol,16.3,10.9,13.9,20,320,1.0,10.9,5.4,82.78530653576955
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Petrol,18.1,13.7,16.1,18,370,1.0,13.7,4.400000000000002,77.76283329454841
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Petrol,13.6,9.8,11.9,24,274,1.0,9.8,3.799999999999999,93.9020117975133
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Petrol,16.4,11.3,14.1,20,324,1.0,11.3,5.099999999999998,82.53348336490053
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Petrol,10.8,7.1,9.1,31,209,1.0,7.1,3.700000000000001,98.60696496475327
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,Petrol,14.3,9.9,12.3,23,283,1.0,9.9,4.4,92.02313597780683
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,Petrol,14.6,10.2,12.6,22,290,1.0,10.2,4.4,91.43678522422032
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,Petrol,9.5,7.2,8.5,33,196,1.0,7.2,2.3,99.25509689279862
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,Petrol,10.2,8.0,9.2,31,212,1.0,8.0,2.1999999999999997,99.09805707216648
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Petrol,13.7,8.7,11.5,25,264,1.0,8.7,5.0,93.17873558800027
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Electric,18.4,12.2,15.6,18,250,0.8,12.2,6.199999999999999,83.54649930226002
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Petrol,13.7,8.9,11.5,25,264,1.0,8.9,4.799999999999999,93.17873558800027
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,Electric,19.4,13.0,16.5,17,264,0.8,13.0,6.399999999999999,81.53915216816034
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,1.0,6.5,3.1,98.63063990491605
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Petrol,11.5,7.9,9.9,29,228,1.0,7.9,3.6,98.33321644752787
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Petrol,12.3,8.7,10.7,26,246,1.0,8.7,3.6000000000000014,97.93167781300377
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,1.0,6.5,3.1,98.63063990491605
BUICK,VERANO,COMPACT,2.0,4,AS6,Petrol,11.5,7.9,9.9,29,228,1.0,7.9,3.6,98.33321644752787
BUICK,VERANO,COMPACT,2.4,4,AS6,Petrol,11.3,7.4,9.5,30,218,1.0,7.4,3.9,98.11218043547983
CADILLAC,ATS,COMPACT,2.0,4,AS6,Petrol,11.3,7.5,9.6,29,221,1.0,7.5,3.8000000000000007,98.3924225221836
CADILLAC,ATS,COMPACT,2.5,4,AS6,Petrol,10.5,7.2,9.0,31,207,1.0,7.2,3.3,98.21002961477645
CADILLAC,ATS,COMPACT,3.6,6,AS6,Petrol,12.8,8.5,10.9,26,251,1.0,8.5,4.300000000000001,93.80873376547156
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Petrol,11.8,8.1,10.1,28,232,1.0,8.1,3.700000000000001,98.22255747465942
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,Petrol,13.1,9.0,11.3,25,260,1.0,9.0,4.1,93.30235787188143
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,Petrol,13.2,8.7,11.2,25,258,1.0,8.7,4.5,93.364169013822
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,Petrol,13.3,9.0,11.4,25,262,1.0,9.0,4.300000000000001,93.24054672994085
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Petrol,11.9,7.9,10.1,28,232,1.0,7.9,4.0,98.22255747465942
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,Petrol,12.9,8.2,10.8,26,248,1.0,8.2,4.700000000000001,93.86816755579903
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Petrol,12.6,8.5,10.8,26,248,1.0,8.5,4.1,97.90966529806767
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,Petrol,13.1,9.0,11.3,25,260,1.0,9.0,4.1,93.30235787188143
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Petrol,15.1,9.9,12.8,22,294,1.0,9.9,5.199999999999999,91.29630535617355
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,Petrol,12.7,8.9,11.0,26,253,1.0,8.9,3.799999999999999,94.83891946448121
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,Petrol,13.3,8.9,11.3,25,260,1.0,8.9,4.4,93.30235787188143
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,Petrol,12.8,9.1,11.1,25,255,1.0,9.1,3.700000000000001,94.5694862816633
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,Petrol,13.3,9.0,11.4,25,262,1.0,9.0,4.300000000000001,93.24054672994085
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999,65.63776457715596
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999,65.63776457715596
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999,65.63776457715596
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Petrol,17.0,11.8,14.7,19,338,1.0,11.8,5.199999999999999,72.83347170422545
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Electric,23.3,16.1,20.1,14,322,0.8,16.1,7.199999999999999,36.60559736226664
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Petrol,18.8,13.4,16.4,17,377,1.0,13.4,5.4,66.05522544865008
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Electric,25.7,17.8,22.1,13,354,0.8,17.8,7.899999999999999,24.88314699754372
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,Petrol,14.3,9.8,12.3,23,283,1.0,9.8,4.5,92.02313597780683
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,Petrol,14.8,10.4,12.8,22,294,1.0,10.4,4.4,91.29630535617355
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,Petrol,13.6,8.6,11.4,25,262,1.0,8.6,5.0,93.24054672994085
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,Petrol,14.0,9.1,11.8,24,271,1.0,9.1,4.9,92.68939738097069
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Petrol,14.8,9.8,12.6,22,290,1.0,9.8,5.0,91.43678522422032
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,Petrol,13.2,8.7,11.2,25,258,1.0,8.7,4.5,93.364169013822
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,Petrol,12.7,7.9,10.5,27,242,1.0,7.9,4.799999999999999,94.27760033361056
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Petrol,15.3,9.8,12.8,22,294,1.0,9.8,5.5,79.64167926636738
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Petrol,19.7,12.9,16.6,17,382,1.0,12.9,6.799999999999999,65.63776457715596
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Petrol,14.9,8.5,12.0,24,276,1.0,8.5,6.4,82.5449298726673
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,Petrol,9.1,6.3,7.8,36,179,1.0,6.3,2.8,99.41899007218652
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,Petrol,10.5,6.7,8.8,32,202,1.0,6.7,3.8,98.8705115750286
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,Diesel,8.7,5.1,7.1,40,192,0.9,5.1,3.6,99.15826406194333
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,Petrol,9.1,6.0,7.7,37,177,1.0,6.0,3.1,99.45327803464104
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,Petrol,10.5,7.3,9.1,31,209,1.0,7.3,3.2,98.27095457547055
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Petrol,13.9,9.6,12.0,24,276,1.0,9.6,4.300000000000001,92.56062416859447
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,Electric,18.8,13.1,16.2,17,259,0.8,13.1,5.700000000000001,81.880022436215
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,Petrol,11.5,8.2,10.0,28,230,1.0,8.2,3.3000000000000007,97.83419381828675
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,Petrol,14.8,9.9,12.6,22,290,1.0,9.9,4.9,91.43678522422032
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,Electric,19.8,13.6,17.0,17,272,0.8,13.6,6.200000000000001,80.97103505473589
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,Petrol,17.1,12.7,15.1,19,347,1.0,12.7,4.400000000000002,85.6181665961018
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,Petrol,18.0,13.4,15.9,18,366,1.0,13.4,4.6,73.4926499804436
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,Electric,23.5,17.7,20.9,14,334,0.8,17.7,5.800000000000001,43.683013994847855
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,Petrol,18.3,14.2,16.5,17,380,1.0,14.2,4.100000000000001,70.84592561103808
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,Electric,23.7,18.8,21.5,13,344,0.8,18.8,4.899999999999999,37.57886498694152
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,Petrol,18.6,13.9,16.5,17,380,1.0,13.9,4.700000000000001,70.84592561103808
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,Electric,23.9,18.5,21.5,13,344,0.8,18.5,5.399999999999999,37.57886498694152
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,Petrol,18.3,14.2,16.5,17,380,1.0,14.2,4.100000000000001,70.84592561103808
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,Electric,25.3,19.3,22.6,12,362,0.8,19.3,6.0,28.877501270324217
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,Petrol,18.6,13.9,16.5,17,380,1.0,13.9,4.700000000000001,70.84592561103808
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,Electric,23.9,18.5,21.5,13,344,0.8,18.5,5.399999999999999,37.57886498694152
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,Petrol,18.3,14.2,16.5,17,380,1.0,14.2,4.100000000000001,70.84592561103808
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,Electric,25.3,19.3,22.6,12,362,0.8,19.3,6.0,28.877501270324217
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,Electric,30.0,20.4,25.7,11,411,0.8,20.4,9.6,0.0
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,Petrol,11.3,7.5,9.6,29,221,1.0,7.5,3.8000000000000007,97.91877392493778
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Petrol,12.6,8.2,10.6,27,244,1.0,8.2,4.4,94.22036779477669
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,Electric,16.7,11.3,14.3,20,229,0.8,11.3,5.399999999999999,86.47608988381872
